psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2310,1,617798,24.6825799,-82.8217786,DT06,2,26,12.6,4,CONT_LR,D2,RU,18
2317,1,290478,24.5736703,-82.9041172,DT06,2,26,21.4,4,CONT_LR,D2,RU,18
2325,1,260017,24.5620976,-82.9616902,DT07,2,0,22.3,4,CONT_LR,D3,R1,19
2323,1,468759,24.6282335,-82.978524,DT07,2,0,30.3,4,CONT_LR,D3,R1,19
2319,1,465711,24.6274605,-82.9686354,DT07,2,0,22.7,4,CONT_LR,D3,R1,19
2322,1,256344,24.5608654,-82.9522934,DT07,2,0,22.5,4,CONT_LR,D3,R1,19
2321,1,458048,24.6250939,-82.9769931,DT07,2,0,24,4,CONT_LR,D3,R2,19
2320,1,477991,24.6310192,-82.9726419,DT07,2,0,26,4,CONT_LR,D3,R2,19
2326,1,549465,24.6519732,-82.9581536,DT07,2,26,29.5,4,CONT_HR,D3,R1,20
2328,1,391467,24.6049952,-82.9949451,DT08,2,0,25.3,4,CONT_MR,D3,R3,21
2332,1,376525,24.6004691,-82.9958607,DT08,2,0,23.6,4,REEF_HR,D3,R4,21
2330,1,364725,24.5968325,-82.9977778,DT08,2,0,27.4,4,REEF_MR,D3,R4,21
2331,1,272450,24.5663329,-82.9829801,DT08,2,0,26,4,REEF_MR,D3,R3,21
2333,1,276240,24.5677258,-82.9800405,DT08,2,0,24.6,4,REEF_HR,D3,R4,21
2334,1,267412,24.5643843,-82.993808,DT08,2,0,25.5,4,REEF_HR,D3,R4,21
2335,1,508923,24.640123,-82.9668584,DT08,2,26,23.1,4,CONT_MR,D3,R4,22
2336,1,317048,24.5829082,-82.8874725,DT08,2,26,23.5,4,CONT_HR,D3,R4,22
2343,1,657070,24.7084472,-82.7727376,DT09,2,0,22.8,4,CONT_MR,D3,RU,23
2339,1,231164,24.5512853,-82.9600414,DT09,2,0,23.1,4,ISOL_MR,D3,RU,23
