psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2170,1,455080,24.6247308,-82.9355071,DT01,2,26,4.1,4,CONT_LR,D1,R2,9
2171,1,517018,24.6443943,-82.8064066,DT01,2,26,3.6,4,ISOL_LR,D1,R2,9
2172,1,607380,24.6762605,-82.7841394,DT01,2,26,11.4,4,ISOL_LR,D1,R2,9
2173,1,503037,24.6402667,-82.8117801,DT01,2,26,8,4,ISOL_LR,D1,R2,9
2174,1,487453,24.635052,-82.8689945,DT01,2,26,3.4,4,CONT_LR,D1,R2,9
2175,1,587027,24.6653044,-82.7943576,DT01,2,26,4.4,4,CONT_MR,D1,R2,9
2176,1,605899,24.674853,-82.8261126,DT02,2,26,8.1,4,ISOL_MR,D1,R3,10
2177,1,526375,24.6472267,-82.7960748,DT02,2,26,3.8,4,ISOL_LR,D1,R3,10
2178,1,626744,24.6874421,-82.9028781,DT02,2,26,9.5,4,CONT_LR,D1,R4,10
2179,1,455051,24.6245458,-82.9498249,DT02,2,26,7.9,4,SPGR_LR,D1,R3,10
2180,1,491945,24.6355433,-82.9371553,DT02,2,26,9.9,4,SPGR_LR,D1,R4,10
2181,1,655559,24.7067171,-82.841402,DT02,2,26,3.8,4,CONT_LR,D1,R3,10
2182,1,612740,24.6783905,-82.9047168,DT02,2,26,9.5,4,CONT_LR,D1,R3,10
2183,1,435315,24.619022,-82.9230743,DT02,2,26,5.9,4,ISOL_HR,D1,R3,10
2184,1,487441,24.6349782,-82.8749198,DT02,2,26,4.2,4,CONT_LR,D1,R3,10
2185,1,669775,24.7163283,-82.830671,DT02,2,26,8.1,4,SPGR_LR,D1,R4,10
2186,1,433756,24.6182849,-82.9452836,DT02,2,26,3.8,4,ISOL_MR,D1,R3,10
2187,1,587978,24.6642739,-82.914382,DT02,2,26,5.6,4,ISOL_LR,D1,R3,10
2188,1,563753,24.6571797,-82.868336,DT02,2,26,9,4,ISOL_HR,D1,R4,10
2189,1,560657,24.6565457,-82.8465925,DT02,2,26,6,4,ISOL_MR,D1,R3,10
2190,1,621374,24.6852758,-82.7852559,DT02,2,26,6.3,4,ISOL_MR,D1,R3,10
2191,1,598048,24.670287,-82.7929468,DT02,2,26,4.3,4,CONT_LR,D1,R3,10
2192,1,353336,24.5945933,-82.8915974,DT02,2,26,7.8,4,CONT_LR,D1,R3,10
2193,1,645098,24.6997828,-82.8546415,DT02,2,26,5.1,4,CONT_LR,D1,R3,10
2194,1,247884,24.5580617,-82.9246109,DT03,2,0,11.7,4,CONT_LR,D1,RU,11
2195,1,251520,24.5594409,-82.9226577,DT03,2,0,11.5,4,CONT_LR,D1,RU,11
2196,1,408147,24.6111493,-82.9032031,DT03,2,26,11.5,4,CONT_HR,D1,RU,12
2197,1,501387,24.6392121,-82.8611542,DT03,2,26,9.8,4,ISOL_MR,D1,RU,12
2198,1,596178,24.6682345,-82.8867787,DT03,2,26,11.9,4,ISOL_MR,D1,RU,12
2199,1,527823,24.647019,-82.8504037,DT03,2,26,6.2,4,ISOL_HR,D1,RU,12
2200,1,532544,24.648657,-82.8272131,DT03,2,26,7.7,4,CONT_LR,D1,RU,12
2201,1,464379,24.6282574,-82.8708687,DT03,2,26,1.2,4,ISOL_LR,D1,RU,12
2202,1,432171,24.6173762,-82.9803282,DT04,2,0,21.7,4,CONT_LR,D2,R1,13
2203,1,427636,24.6160417,-82.9788258,DT04,2,0,17.5,4,CONT_LR,D2,R1,13
2204,1,255170,24.5607318,-82.927613,DT04,2,0,14.3,4,ISOL_LR,D2,R2,13
2205,1,266298,24.5647937,-82.9276752,DT04,2,0,14.3,4,ISOL_LR,D2,R1,13
2206,1,280069,24.5692156,-82.9696985,DT04,2,0,17.8,4,CONT_LR,D2,R2,13
2207,1,378035,24.601051,-82.9859957,DT04,2,0,17.7,4,SPGR_LR,D2,R1,13
2208,1,292946,24.5736835,-82.9732237,DT04,2,0,19.9,4,ISOL_LR,D2,R1,13
2209,1,669875,24.7169234,-82.7812593,DT04,2,0,18.4,4,CONT_LR,D2,R2,13
2210,1,373592,24.5997947,-82.9785702,DT04,2,0,18.3,4,CONT_LR,D2,R2,13
2211,1,394512,24.6062166,-82.9707714,DT04,2,0,13,4,CONT_LR,D2,R2,13
2212,1,412527,24.6116,-82.9733246,DT04,2,0,14.1,4,CONT_LR,D2,R2,13
2213,1,418570,24.6133988,-82.9738466,DT04,2,0,14.5,4,CONT_LR,D2,R1,13
2214,1,273742,24.5669913,-82.9671958,DT04,2,0,20.5,4,CONT_LR,D2,R1,13
2215,1,535405,24.6479499,-82.9551274,DT04,2,26,19.3,4,CONT_LR,D2,R2,14
2216,1,441305,24.6203041,-82.9635854,DT04,2,26,15.2,4,CONT_LR,D2,R2,14
2217,1,300934,24.5770047,-82.9258875,DT04,2,26,15.2,4,CONT_LR,D2,R2,14
2218,1,639362,24.6954528,-82.9118937,DT04,2,26,14.2,4,CONT_LR,D2,R2,14
2219,1,336235,24.5883124,-82.9591366,DT04,2,26,16,4,ISOL_MR,D2,R2,14
2220,1,648461,24.7011748,-82.9233458,DT04,2,26,18.3,4,CONT_LR,D2,R2,14
2221,1,594578,24.6686577,-82.778103,DT04,2,26,14.6,4,CONT_LR,D2,R2,14
2222,1,637919,24.6943035,-82.9311458,DT04,2,26,16.5,4,CONT_LR,D2,R2,14
2223,1,674292,24.7190921,-82.8628349,DT04,2,26,16.5,4,CONT_LR,D2,R2,14
2224,1,671035,24.7168906,-82.8583544,DT04,2,26,14.7,4,CONT_LR,D2,R2,14
2225,1,521402,24.6440355,-82.9437069,DT04,2,26,16.1,4,CONT_LR,D2,R2,14
