DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
1656,Primary,24.698356,-82.861477,Not surveyed,642974,26,4,4,CONT_LR,24.698343,-82.861538,6,0.3318,220.613142,3041.861491,DRY TORT,2,D1,R3,DT02
1657,Primary,24.699548,-82.799789,Not surveyed,643801,26,4,4,CONT_LR,24.699548,-82.799789,3.7,0.2717,220.621617,3042.095191,DRY TORT,2,D1,R3,DT02
1658,Primary,24.699783,-82.854641,Not surveyed,645098,26,4,4,CONT_LR,24.699783,-82.854641,5.1,0.2877,220.616395,3041.951207,DRY TORT,2,D1,R3,DT02
1659,Primary,24.703648,-82.8724,Not surveyed,651344,26,4,4,CONT_LR,24.703624,-82.872488,5.9,0.2718,220.621189,3042.083409,DRY TORT,2,D1,R3,DT02
1660,Primary,24.705375,-82.840394,Not surveyed,653491,26,4,4,CONT_LR,24.705375,-82.840394,3.8,0.2606,220.627594,3042.260025,DRY TORT,2,D1,R3,DT02
1661,Primary,24.706717,-82.841402,Not surveyed,655559,26,4,4,CONT_LR,24.706717,-82.841402,3.8,0.2648,220.629818,3042.321375,DRY TORT,2,D1,R3,DT02
1662,Primary,24.709875,-82.878017,Not surveyed,660953,26,4,4,CONT_LR,24.709875,-82.878017,13,0.2716,220.631523,3042.36838,DRY TORT,2,D2,R3,DT05
1663,Primary,24.710864,-82.871113,Not surveyed,662323,26,4,4,CONT_LR,24.710864,-82.871113,13.2,0.282,220.634073,3042.438731,DRY TORT,2,D2,R3,DT05
1664,Primary,24.716328,-82.830671,Not surveyed,669775,26,4,4,SPGR_LR,24.716328,-82.830671,8.1,0.4036,220.647802,3042.817354,DRY TORT,2,D1,R4,DT02
1665,Primary,24.716835,-82.788671,Not surveyed,669860,26,4,4,ISOL_LR,24.716835,-82.788671,13.9,0.2271,220.652908,3042.958199,DRY TORT,2,D2,R2,DT04
1666,Primary,24.716891,-82.858354,Not surveyed,671035,26,4,4,CONT_LR,24.716891,-82.858354,14.7,0.2459,220.646104,3042.770531,DRY TORT,2,D2,R2,DT04
1667,Primary,24.721961,-82.812962,Not surveyed,677631,26,4,4,SPGR_LR,24.721961,-82.812962,16.2,-9,220.659532,3043.14091,DRY TORT,2,D2,RU,DT06
1668,Primary,24.722743,-82.822857,Not surveyed,678887,26,4,4,CONT_MR,24.722743,-82.822857,16.1,-9,220.659947,3043.152372,DRY TORT,2,D2,RU,DT06
